date,description,guests,state,location,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"APR 13"," Dartmouth Meet & Greet with Elizabeth Warren ",813," NH","Hanover Inn Dartmouth, Hanover, NH",43.70701,-72.27741,1,place,,,Hanover,NH,"Grafton County",03755,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 13"," Charles City Win With Warren Coffee Hour ",8," IA","Aroma's - 214 N Main St., Charles City, IA",43.059926,-92.789058,1,place,,,"Charles City",IA,"Floyd County",50616,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 13"," Grinnell Win With Warren Organizing Meeting ",3," IA","Mayflower Community,  J&B Room - Buckley Dining Hall 616 Broad St, Grinnell, IA",41.738879,-92.723106,1,street_center,,"Mayflower Ln",Grinnell,IA,"Poweshiek County",50112,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 13"," Council Bluffs Win With Warren Brunch ",39," IA","Caddy's Kitchen & Cocktails - 103 W. Broadway, Council Bluffs, IA",41.23238,-95.875086,1,place,,,"Council Bluffs",IA,"Pottawattamie County",51501,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 13"," Indianola Win With Warren House Party ",18," IA","Indianola, IA",41.314309,-93.588041,1,place,,,Indianola,IA,"Warren County",50125,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 12"," Conversation with Women Leaders in Portsmouth ",265," NH","Portsmouth High School (New Hampshire), Portsmouth, NH",43.005895,-71.013202,1,place,,,Portsmouth,NH,"Rockingham County",00210,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 12"," UNH Meet & Greet with Elizabeth Warren ",270," NH","The Waysmeet Center, Durham, NH",43.14133,-70.92294,1,place,,,Durham,NH,"Strafford County",03824,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 6"," Reno Organizing Event with Elizabeth Warren ",501," NV","Earl Wooster High School, Reno, NV",39.541272,-119.831047,1,street_center,,"Earl Dr",Reno,NV,"Washoe County",89503,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 4"," Beaverdale Persist Party ",8," IA","Des Moines, IA",41.672687,-93.572173,1,place,,,"Des Moines",IA,"Polk County",50301,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 4"," Davenport Pints & Persistence ",76," IA","Front Street Brewery - 208 E River Dr, Davenport, IA",41.457826,-90.705139,1,street_center,,"Front St",Davenport,IA,"Scott County",52804,US,"TIGER/Line® dataset from the US Census Bureau"
