date,description,guests,state,location,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"APR 26"," UNLV Young Democrats Town Hall ",274," NV","Greenspun Urban Affairs Building: Courtyard 4505 S Maryland Pkwy, Las Vegas, NV",36.239963,-115.212026,1,street_center,,"Greenspun Dr","Las Vegas",NV,"Clark County",89130,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 25"," Carson City Democrats Town Hall ",230," NV","Gather Carson CityCarson City, NV",0,0,0,,,,,,,,,
"APR 25"," University of Nevada, Reno Young Democrats Town Hall ",320," NV","Bibo Coffee Company (record street)Reno, NV",0,0,0,,,,,,,,,
"APR 19"," Teatotaller Town Hall ",200," NH","Teatotaller, 69 High Street, Somersworth, NH",43.26175,-70.86534,1,place,,,Somersworth,NH,"Strafford County",03878,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 18"," Nashua Community College Town Hall ",276," NH","Nashua Community College (NCC) 505 Amherst Street Nashua, NH",42.764276,-71.463001,1,street_center,,"Nashua Dr",Nashua,NH,"Hillsborough County",03063,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 18"," Gibson's Bookstore Town Hall ",169," NH","Gibson’s Bookstore, 45 S Main St, Concord, NH",43.230314,-71.536101,1,place,,,Concord,NH,"Merrimack County",03301,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 18"," Derry Town Hall With Beto ",153," NH","The Grind Rail Trail Cafe 5 W Broadway, Derry, NH",42.88973,-71.27786,1,place,,,Derry,NH,"Rockingham County",03038,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 17"," Northern Virginia Town Hall ",1125," VA","Crowne Plaza Old Town 901 N Fairfax St, Alexandria, VA",38.725592,-77.055501,1,street_center,,"Crown Pl",Wellington,VA,"Fairfax County",22308,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 17"," Meet and Greet with HD 28 Dem Candidate Joshua Cole ",263," VA","Pimenta 1108 Caroline St, Fredericksburg, VA",38.295135,-77.483689,1,place,,,Fredericksburg,VA,"Fredericksburg city",22401,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 16"," Meet and Greet with University of Virginia Students ",773," VA","Nau 101 1540 Jefferson Park Ave, Charlottesville, VA",38.026588,-78.48045,1,place,,,Charlottesville,VA,"Charlottesville city",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 16"," House Party with Henrico Democrats ",258," VA","Hilton Richmond Hotel/Short Pump 12042 W Broad Street, Richmond, VA",37.524246,-77.493157,1,place,,,Richmond,VA,"Richmond city",23218,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 16"," Meet and Greet with William and Mary Students ",514," VA","Trinkle Hall, 108 Jamestown Rd, Williamsburg, VA",37.310451,-76.746769,1,place,,,Williamsburg,VA,"Williamsburg city",23186,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 16"," Meet and Greet with Peninsula Community ",516," VA","The Vanguard Brewpub & Distillery 504 N King St, Hampton, VA",37.072658,-76.38992,1,place,,,Hampton,VA,"Hampton city",23630,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 16"," Meet and Greet with Southside Community ",431," VA","Charlie’s American Cafe, 4024 Granby St, Norfolk, VA",36.895911,-76.208521,1,place,,,Norfolk,VA,"Norfolk city",23501,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 15"," University of North Carolina at Chapel Hill Town Hall ",1692," NC","The Great Hall - FPG Student Union 209 South Road, Chapel Hill, NC",36.004647,-79.054475,1,place,,,"Chapel Hill",NC,"Orange County",27514,US,"TIGER/Line® dataset from the US Census Bureau"
"APR 15"," Natty Greene's Town Hall ",1005," NC","Natty Greene’s 345 S Elm St Greensboro, NC",36.069144,-79.765156,1,place,,,Greensboro,NC,"Guilford County",27401,US,"TIGER/Line® dataset from the US Census Bureau"
