,date,description,guests,state,location,address,block,city,coordinates,county_fips,geocoded_address,id,is_exact,is_match,latitude,longitude,returned_address,side,state_geo,state_fips,tiger_line,tract,zipcode
35,JUN 15, Council Bluffs Barnstorm with Team Bernie ,316, IA,"Barley's Bar ,Council Bluffs, IA,Council Bluffs, IA",,,Council Bluffs,,,", Council Bluffs,  IA, ",35,,No_Match,,,,, IA,,,,
36,JUN 15, Ames Barnstorm with Ro Khanna and Team Bernie ,65, IA,"Ames Public Library, Ames, IA",,, Ames,,,",  Ames,  IA, ",36,,No_Match,,,,, IA,,,,
37,JUN 14, Des Moines Barnstorm with Ro Khanna and Team Bernie ,126, IA,"Eastview Community Center, Des Moines, IA",,, Des Moines,,,",  Des Moines,  IA, ",37,,No_Match,,,,, IA,,,,
38,JUN 9, Rally in Dubuque with Bernie Sanders ,1665, IA,"Grand River Center, Dubuque, IA",,, Dubuque,,,",  Dubuque,  IA, ",38,,No_Match,,,,, IA,,,,
39,JUN 8, Town Hall in Waterloo with Bernie Sanders ,556, IA,"National Cattle Congress, Waterloo, IA",,, Waterloo,,,",  Waterloo,  IA, ",39,,No_Match,,,,, IA,,,,
40,JUN 8, Town Hall in Marshalltown with Bernie Sanders ,301, IA,"DeJardin Hall, Marshalltown, IA",,, Marshalltown,,,",  Marshalltown,  IA, ",40,,No_Match,,,,, IA,,,,
41,JUN 8, Capital City Pride Candidate Forum with Bernie Sanders ,346, IA,"711 E Locust St, Des Moines, IA",,, Des Moines,,,",  Des Moines,  IA, ",41,,No_Match,,,,, IA,,,,
42,JUN 1, Rally in San Jose with Bernie Sanders ,5865, CA,"Arena Green East, 340 W St John St, San Jose, CA",,, San Jose,,,",  San Jose,  CA, ",42,,No_Match,,,,, CA,,,,
43,MAY 31, Rally in Pasadena with Bernie Sanders ,6976, CA,"Pasadena Convention Center, Exhibit Hall B, 300 East Green St, Pasadena, CA",,, Pasadena,,,",  Pasadena,  CA, ",43,,No_Match,,,,, CA,,,,
44,MAY 30, Town Hall in East Las Vegas with Bernie Sanders ,1914, NV,"Roy West Martin Middle School, Las Vegas, NV",,, Las Vegas,,,",  Las Vegas,  NV, ",44,,No_Match,,,,, NV,,,,
45,MAY 29, Rally in Reno with Bernie Sanders ,3051, NV,"1 E 1st St, Reno, NV",,, Reno,,,",  Reno,  NV, ",45,,No_Match,,,,, NV,,,,
46,MAY 28, Rally in Manchester with Bernie Sanders ,763, NH,"DoubleTree by Hilton Manchester Downtown, Manchester, NH",,, Manchester,,,",  Manchester,  NH, ",46,,No_Match,,,,, NH,,,,
47,MAY 28, Town Hall in Londonderry with Bernie Sanders ,376, NH,"Mack's Apples, Londonderry, NH",,, Londonderry,,,",  Londonderry,  NH, ",47,,No_Match,,,,, NH,,,,
48,MAY 28, Town Hall in Concord with Bernie Sanders ,321, NH,"NHTI―Concord's Community College, Concord, NH",,, Concord,,,",  Concord,  NH, ",48,,No_Match,,,,, NH,,,,
49,MAY 27, Ice Cream Social with Bernie and Ben & Jerry in Rollinsford ,855, NH,"380 Rollins Rd, Rollinsford, NH",,, Rollinsford,,,",  Rollinsford,  NH, ",49,,No_Match,,,,, NH,,,,
50,MAY 27, Ice Cream Social with Bernie and Ben & Jerry in Laconia ,693, NH,"1487 Old North Main St, Laconia, NH",,, Laconia,,,",  Laconia,  NH, ",50,,No_Match,,,,, NH,,,,
51,MAY 27, Ice Cream Social with Bernie and Ben & Jerry in Warner ,689, NH,"MainStreet BookEnds of Warner, Warner, NH",,, Warner,,,",  Warner,  NH, ",51,,No_Match,,,,, NH,,,,
52,MAY 25, Rally in Montpelier with Bernie Sanders ,4217, VT,"Vermont State House, Montpelier, VT",,, Montpelier,,,",  Montpelier,  VT, ",52,,No_Match,,,,, VT,,,,
53,MAY 20, Town Hall in Montgomery with Bernie Sanders ,1627, AL,"Mount Zion AME Zion Church, Montgomery, AL",,, Montgomery,,,",  Montgomery,  AL, ",53,,No_Match,,,,, AL,,,,
54,MAY 19, Rally in Birmingham with Bernie Sanders ,4859, AL,"Kelly Ingram Park, Birmingham, AL",,, Birmingham,,,",  Birmingham,  AL, ",54,,No_Match,,,,, AL,,,,
55,MAY 18, Rally in Augusta with Bernie Sanders ,2489, GA,"Jessye Norman Amphitheater & Plaza, Augusta, GA",,, Augusta,,,",  Augusta,  GA, ",55,,No_Match,,,,, GA,,,,
